Title,Label
"කොරෝනා වැලඳුණු ට්‍රම්ප් අද ජන රැලියක,International"
"ආර්ථික විද්‍යාව පිළිබඳ නොබෙල් ත්‍යාගය ඇමරිකානුවන් දෙදෙනෙකුට,International"
"ඉන්දියාවේ කොරෝනා ආසාදිතයන් 71 ලක්ෂය ඉක්මවයි,International"
"කළු ජාතිකයෙකු ඩොලර් මිලියනයක වන්දි ඉල්ලා ටෙක්සාස් පොලීසියට එරෙහිව නඩු පවරයි,International"
"නේපාල සංචාරක ඇමතිට කොරෝනා,International"
"උතුරු කොරියාව ලොව විශාලතම බැලස්ටික් මිසයිලය ප්‍රදර්ශනය කරයි,International"
"තායිලන්තයේ බස් රථ අනතුරකින් විසිදෙනෙකු මියයයි,International"
"බ්‍රසීලයේ කොරෝනා මරණ එක්ලක්ෂ පනස් දහස ඉක්මවයි,International"
"නොබෙල් සාම ත්‍යාගයට ට්‍රම්ප්ගේ නමත්,International"
"ඉන්දු - චීන දේශසීමාවට චීනය 60^000ක අමතර සෙබළුන් යොදවා ඇති බවට චෝදනා,International"
"රුසියාවෙන් වාර්තා වූ වැඩිම ආසාදිතයින් සංඛ්‍යාව ගතවූ පැය විසි හතරේ,International"
"කොරෝනා ප්‍රතිකාර නැවතූ බව^ ජනපති ට්‍රම්ප් කියයි,International"
"දකුණු කොරියාවේ මහල් 33 ක ගොඩනැගිල්ලක් ගිනි ගනී,International"
"රුපියල^ ඩොලරයට සාපේකෂව ශක්තිමත් වෙයි,International"
"කොවිඩ් වැළඳුණු ට්‍රම්ප්^ බයිඩ්න් සමඟ මුහුණට මුහුණ විවාද ඉල්ලයි,International"
"යුරෝපයේ කොරෝනා පැතිරීම ඉහළට,International"
"ආවරණ මැද කෙරුණු ඇමරිකානු උප ජනපති අපේක්ෂකයන්ගේ විවාදයත් උණුසුම්,International"
"ජපානය රටවල් 12 ක විදෙස් ගමන් තහනම ඉවත් කරයි,International"
"ඉරානය සහ නේපාලය යළි වසා දැමේ,International"
"චීනයේ සතුරු ක්‍රියාමාර්ගවල නිරත වන බවට ඇමරිකානු රාජ්‍ය ලේකම්ගෙන් චෝදනා,International"
"ඉන්දියාවේ කොරෝනා ආසාදිතයන් හැටහය ලක්ෂ 85^000 ඉක්මවයි,International"
"ට්‍රම්ප් රෝහලෙන් නික්මෙයි -කොරෝනාවට බිය නොවන්නැයි^ ඇමරිකානුවන්ට කියයි (වීඩියෝ),International"
"වෛද්‍ය විද්‍යාව පිළිබඳ නොබෙල් ත්‍යාගය හෙපටයිටීස් සී වෛරසය සොයා ගත් වෛද්‍ය විද්‍යාඥයන්ට,International"
"ට්‍රම්ප්ගේ තවත් කාර්ය මණ්ඩල සාමාජිකයින් 3කට කොරෝනා,International"
"ඉන්දියාවේ කොරෝනා ආසාදිතයින් හැටපන් ලක්ෂය ඉක්මවයි,International"
"රාහුල් සහ ප්‍රියංකා ගාන්ධි සමූහ දූෂනයට ලක්වී මියගිය තරුණියගේ ඥාතීන් හමුවේ,International"
"චීන ජනපතිත්^ ට්‍රම්ප්ට සුව පතයි,International"
"ප්‍රංශයේ ගංවතුරෙන් 8 දෙනෙකු අතුරුදන්,International"
"ඇන්ටාක්ටික් අර්ධද්වීපයේ උණුසුම්ම වසර,International"
"ට්‍රම්ප්ගේ ප්‍රතිවාදී ජෝ බයිඩ්න්ට කොරෝනා නැහැ,International"
"කිම් ජොං අන් ජනපති ට්‍රම්ප්ට ඉක්මන් සුවය පතයි,International"
"ධවල මන්දිරයේ ආවරණ කටයුතුවල නිරතවූ මාධ්‍යවේදීන්ටත් කොරෝනා,International"
"ලෝක නායකයන් රැසක් ජනපති ට්‍රම්ප්ට ඉක්මන් සුවය පතයි (වීඩියෝ),International"
"තරුණියක දූෂණය කර මරාදැමීමේ සිද්ධියට කරුණු දක්වන්නැයි ඉන්දීය අධිකරණය පොලීසියට සිතාසි,International"
"ප්‍රධාන උපදේශිකාවට කොරෝනා නිසා ට්‍රම්ප් සහ ඔහුගේ ආර්යාව නිරෝධායනය වෙයි,International"
"ඉන්දීය මත් ජාවාරම පිටුපස දීපිකා පදුකෝන් - ශාරුක්^ රන්බීර්^ රාම්පාල් සහ මොරියා ගැනත් සැක,International"
"ඉන්දියාවේ මහා රාෂ්ට්‍ර ප්‍රාන්තය ලබන 31 තෙක් යළි වැසේ,International"
"කොරෝනා ව්‍යාප්තියත් සමඟ ස්පාඤ්ඤයේ අගනුවර යළි වැසේ,International"
"ජපානයේ කොටස් වෙළඳපොල වසා දැමේ,International"
"ට්‍රම්ප් සහ ජෝ බයිඩ්න් අතර විවාදය විදෙස් මාධ්‍ය හෙලා දකී,International"
"මඩ ප්‍රහාර මැද ට්‍රම්ප් - බයිඩ්න් සංවාදය නිම වේ (වීඩියෝ),International"
"කොරෝනා මරණ මිලියනය ඉක්මවීම ශෝකජනක සන්ධිස්ථානයක් - ජගත් මහ ලේකම් කියයි,International"
"ට්‍රම්ප් - බයිඩන් ප්‍රථම රූපවාහිණි සංවාදය අද,International"
"රාජ් කපූර් සහ දිලිප් කුමාර්ගේ පාරම්පරික නිවහන් රකින්න^ පාකිස්තානය පෙරට,International"
"ලෝක සෞඛ්‍ය සංවිධානයෙන්^ රටවල් 133ක ක්ෂණික කොවිඩ්19 පරීක්ෂාවක්,International"
"මෝදිගේ නව ගොවි පනතට එරෙහි විරෝධතා උත්සන්න වෙයි,International"
"ජපාන ගුවන් සමාගමෙන් මගීන් අමන්ත්‍රණයේ වෙනසක්,International"
"ඕස්ට්‍රේලියාවේ විනෝද උද්‍යානයක සිදු වූ අනතුරකට ඩොලර් මිලියන 2.5ක වන්දියක්,International"
"අසර්බයිජාන - ආමේනියා දේශසීමා ගැටුම ගැන ලෝක නායකයින්ගේ අවධානය,International"
"අසර්බයිජානය සහ ආමේනියාව අතර ගැටුම්වලින් 23ක් මරුට,International"
"වසර 10ක් ආදායම් බදු නොගෙවූ බවට ට්‍රම්ප්ට චෝදනා,International"
"ට්‍රම්ප්ගේ ටික්ටොක් තහනම ගැන අධිකරණ තීන්දුව අද,International"
"නවසීලන්ත අගමැතිනිය යළි බලයට පත්වන බවට අනාවැකි,International"
"ඕස්ට්‍රේලියාවේ තස්මේනියා මුහුදු තීරයට ගොඩගැසූ තල්මසුන්ගෙන් 108ක් යළි මුහුදට,International"
"ඉන්දියාවේ කොරෝනා ආසාදිතයන් ලක්ෂ 60ට ආසන්නයි,International"
"ට්‍රම්ප් ශ්‍රේෂ්ඨාධිකරණයට කාන්තාවක් නම් කරයි,International"
